CohortMonth,1,2,3,4,5,6,7,8,9,10,11,12,13
2010-12,1.0,0.366,0.323,0.384,0.363,0.398,0.363,0.349,0.354,0.395,0.374,0.503,0.266
2011-01,1.0,0.221,0.266,0.23,0.321,0.288,0.247,0.242,0.3,0.326,0.365,0.118,
2011-02,1.0,0.187,0.187,0.284,0.271,0.247,0.253,0.279,0.247,0.305,0.068,,
2011-03,1.0,0.15,0.252,0.199,0.223,0.168,0.268,0.23,0.279,0.086,,,
2011-04,1.0,0.213,0.203,0.21,0.197,0.227,0.217,0.26,0.073,,,,
2011-05,1.0,0.19,0.173,0.173,0.208,0.232,0.264,0.095,,,,,
2011-06,1.0,0.174,0.157,0.264,0.231,0.335,0.095,,,,,,
2011-07,1.0,0.181,0.207,0.223,0.271,0.112,,,,,,,
2011-08,1.0,0.207,0.249,0.243,0.124,,,,,,,,
2011-09,1.0,0.234,0.301,0.114,,,,,,,,,
2011-10,1.0,0.24,0.115,,,,,,,,,,
2011-11,1.0,0.111,,,,,,,,,,,
2011-12,1.0,,,,,,,,,,,,
